time,LA Lakers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Thompson (K. Love gains possession),,,,Jump ball: R. Hibbert vs. T. Thompson (K. Love gains possession)
11:47.0,,,0-2,2,K. Irving makes 2-pt shot from 18 ft (assist by L. James)
11:30.0,K. Bryant makes 2-pt shot from 15 ft,2,2-2,,
11:15.0,,,2-4,2,K. Irving makes 2-pt shot from 11 ft
10:57.0,R. Hibbert makes 2-pt shot from 6 ft,2,4-4,,
10:46.0,,,4-4,,L. James misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by L. Williams,,4-4,,
10:28.0,Turnover by J. Randle (illegal assist),,4-4,,
10:12.0,,,4-4,,K. Irving misses 2-pt shot from 1 ft
10:11.0,,,4-4,,Offensive rebound by T. Thompson
10:11.0,,,4-6,2,T. Thompson makes 2-pt shot at rim
9:54.0,J. Randle misses 2-pt shot from 14 ft,,4-6,,
9:53.0,,,4-6,,Defensive rebound by L. James
9:44.0,,,4-8,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
9:32.0,R. Hibbert misses 2-pt shot from 14 ft,,4-8,,
9:31.0,,,4-8,,Defensive rebound by L. James
9:25.0,,,4-11,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
9:09.0,J. Clarkson misses 3-pt shot from 25 ft,,4-11,,
9:08.0,Offensive rebound by R. Hibbert,,4-11,,
8:52.0,J. Clarkson misses 2-pt shot from 4 ft,,4-11,,
8:51.0,,,4-11,,Defensive rebound by K. Love
8:39.0,,,4-11,,K. Love misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by K. Bryant,,4-11,,
8:31.0,K. Bryant misses 3-pt shot from 26 ft,,4-11,,
8:30.0,,,4-11,,Defensive rebound by J. Smith
8:21.0,,,4-11,,K. Love misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by L. Williams,,4-11,,
8:10.0,L. Williams misses 2-pt shot from 14 ft,,4-11,,
8:08.0,,,4-11,,Defensive rebound by K. Love
8:04.0,,,4-13,2,L. James makes 2-pt shot at rim (assist by K. Love)
7:43.0,R. Hibbert makes 2-pt shot from 6 ft (assist by J. Clarkson),2,6-13,,
7:32.0,,,6-13,,K. Love misses 2-pt shot from 20 ft
7:31.0,Defensive rebound by R. Hibbert,,6-13,,
7:19.0,K. Bryant misses 3-pt shot from 24 ft,,6-13,,
7:19.0,,,6-13,,Defensive rebound by K. Love
7:06.0,,,6-16,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
6:51.0,K. Bryant misses 2-pt shot from 11 ft,,6-16,,
6:49.0,,,6-16,,Defensive rebound by T. Thompson
6:45.0,,,6-18,2,L. James makes 2-pt shot from 1 ft
6:35.0,LA Lakers full timeout,,6-18,,
6:21.0,L. Williams makes 3-pt shot from 27 ft,3,9-18,,
6:07.0,,,9-20,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
5:49.0,Shooting foul by K. Love (drawn by R. Hibbert),,9-20,,
5:49.0,R. Hibbert misses free throw 1 of 2,,9-20,,
