time,Brooklyn,pts.away,score,pts.home,Milwaukee
1:40.0,,,88-97,,J. Bayless misses 2-pt shot from 20 ft
1:39.0,Defensive rebound by B. Bogdanovic,,88-97,,
1:33.0,J. Jack makes 3-pt shot from 25 ft,3,91-97,,
1:21.0,,,91-97,,Shooting foul by B. Lopez (drawn by Z. Pachulia)
1:21.0,Technical foul by B. Lopez (drawn by Z. Pachulia),,91-97,,
1:21.0,,,91-98,1,J. Bayless makes technical free throw
1:21.0,,,91-98,,Z. Pachulia misses free throw 1 of 2
1:21.0,,,91-98,,Offensive rebound by Team
1:21.0,,,91-99,1,Z. Pachulia makes free throw 2 of 2
1:16.0,J. Jack makes 2-pt shot at rim,2,93-99,,
0:52.0,,,93-101,2,K. Middleton makes 2-pt shot from 17 ft (assist by J. Bayless)
0:43.0,J. Jack makes 2-pt shot at rim,2,95-101,,
0:22.0,,,95-103,2,O. Mayo makes 2-pt shot at rim
0:13.0,Shooting foul by Z. Pachulia (drawn by J. Jack),,95-103,,
0:13.0,J. Jack makes free throw 1 of 2,1,96-103,,
0:13.0,J. Jack makes free throw 2 of 2,1,97-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
