time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Nurkic (A. Aminu gains possession),,,,Jump ball: D. Jordan vs. J. Nurkic (A. Aminu gains possession)
11:33.0,J. Nurkic misses 2-pt shot from 5 ft,,0-0,,
11:31.0,Offensive rebound by J. Nurkic,,0-0,,
11:30.0,J. Nurkic misses 2-pt shot from 2 ft (block by D. Jordan),,0-0,,
11:30.0,Offensive rebound by A. Aminu,,0-0,,
11:27.0,A. Aminu misses 2-pt shot at rim,,0-0,,
11:27.0,,,0-0,,Defensive rebound by W. Johnson
11:15.0,Personal foul by E. Turner (drawn by D. Jordan),,0-0,,
11:05.0,,,0-0,,M. Teodosic misses 3-pt shot from 27 ft
11:05.0,Defensive rebound by E. Turner,,0-0,,
10:55.0,E. Turner misses 2-pt shot from 13 ft,,0-0,,
10:55.0,Offensive rebound by Team,,0-0,,
10:55.0,,,0-0,,Loose ball foul by D. Gallinari (drawn by J. Nurkic)
10:49.0,C. McCollum misses 2-pt shot from 8 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by D. Jordan
10:42.0,,,0-0,,T. Wallace misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by A. Aminu,,0-0,,
10:36.0,D. Lillard makes 3-pt shot from 27 ft,3,3-0,,
10:18.0,,,3-0,,D. Gallinari misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by D. Lillard,,3-0,,
9:56.0,E. Turner makes 3-pt shot from 24 ft (assist by D. Lillard),3,6-0,,
9:42.0,,,6-0,,Shooting foul by A. Aminu (drawn by D. Gallinari)
9:42.0,,,6-1,1,D. Gallinari makes free throw 1 of 2
9:42.0,,,6-2,1,D. Gallinari makes free throw 2 of 2
9:25.0,Offensive charge foul by J. Nurkic (drawn by D. Gallinari),,6-2,,
9:25.0,Turnover by J. Nurkic (offensive foul),,6-2,,
9:12.0,,,6-2,,D. Jordan misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by A. Aminu,,6-2,,
9:05.0,A. Aminu misses 2-pt shot from 2 ft,,6-2,,
9:04.0,,,6-2,,Defensive rebound by D. Jordan
9:00.0,,,6-4,2,T. Wallace makes 2-pt shot at rim
8:41.0,J. Nurkic makes 2-pt shot at rim (assist by A. Aminu),2,8-4,,
8:28.0,,,8-6,2,W. Johnson makes 2-pt shot from 2 ft (assist by M. Teodosic)
8:10.0,E. Turner makes 2-pt shot from 15 ft,2,10-6,,
8:01.0,,,10-6,,Turnover by M. Teodosic (bad pass; steal by E. Turner)
7:57.0,C. McCollum misses 3-pt shot from 24 ft,,10-6,,
7:54.0,,,10-6,,Defensive rebound by D. Gallinari
7:43.0,,,10-8,2,D. Jordan makes 2-pt shot from 1 ft (assist by T. Wallace)
7:30.0,E. Turner misses 2-pt shot from 2 ft (block by W. Johnson),,10-8,,
7:27.0,Offensive rebound by E. Turner,,10-8,,
7:25.0,J. Nurkic misses 2-pt shot from 14 ft,,10-8,,
7:25.0,,,10-8,,Defensive rebound by D. Jordan
7:10.0,,,10-11,3,D. Gallinari makes 3-pt shot from 26 ft
6:51.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,12-11,,
6:43.0,,,12-11,,Shooting foul by J. Nurkic (drawn by D. Jordan)
6:43.0,,,12-11,,LA Clippers full timeout
6:43.0,,,12-11,,L. Williams enters the game for M. Teodosic
6:43.0,E. Davis enters the game for J. Nurkic,,12-11,,
6:43.0,,,12-12,1,D. Jordan makes free throw 1 of 2
6:43.0,,,12-13,1,D. Jordan makes free throw 2 of 2
6:29.0,E. Turner misses 2-pt shot from 13 ft,,12-13,,
6:27.0,,,12-13,,Defensive rebound by D. Jordan
6:13.0,,,12-15,2,D. Jordan makes 2-pt shot from 1 ft (assist by T. Wallace)
6:00.0,D. Lillard makes 3-pt shot from 26 ft (assist by E. Turner),3,15-15,,
5:47.0,,,15-15,,Turnover by D. Jordan (bad pass; steal by C. McCollum)
5:42.0,C. McCollum misses 2-pt shot from 15 ft,,15-15,,
5:39.0,Offensive rebound by E. Davis,,15-15,,
5:32.0,E. Davis makes 2-pt shot from 6 ft,2,17-15,,
5:22.0,,,17-15,,D. Gallinari misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by E. Davis,,17-15,,
5:12.0,D. Lillard makes 2-pt shot from 1 ft,2,19-15,,
4:57.0,,,19-15,,Turnover by L. Williams (bad pass; steal by E. Davis)
4:45.0,Turnover by C. McCollum (bad pass; steal by W. Johnson),,19-15,,
4:41.0,,,19-17,2,T. Wallace makes 2-pt shot from 2 ft (assist by W. Johnson)
4:21.0,D. Lillard misses 3-pt shot from 26 ft,,19-17,,
4:19.0,,,19-17,,Defensive rebound by W. Johnson
4:16.0,,,19-17,,T. Wallace misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by A. Aminu,,19-17,,
4:03.0,,,19-17,,S. Dekker enters the game for D. Gallinari
4:03.0,Z. Collins enters the game for A. Aminu,,19-17,,
4:03.0,P. Connaughton enters the game for C. McCollum,,19-17,,
3:59.0,P. Connaughton misses 2-pt shot from 3 ft (block by W. Johnson),,19-17,,
3:55.0,,,19-17,,Defensive rebound by D. Jordan
3:52.0,,,19-17,,Shooting foul by E. Davis (drawn by L. Williams)
3:52.0,,,19-18,1,L. Williams makes free throw 1 of 2
3:52.0,,,19-19,1,L. Williams makes free throw 2 of 2
3:36.0,Z. Collins misses 2-pt shot from 1 ft,,19-19,,
3:33.0,Offensive rebound by E. Davis,,19-19,,
3:30.0,Shooting foul by D. Jordan (drawn by E. Davis),,19-19,,
3:30.0,E. Davis makes free throw 1 of 2,1,20-19,,
3:30.0,E. Davis makes free throw 2 of 2,1,21-19,,
3:14.0,,,21-19,,S. Dekker misses 2-pt shot from 1 ft
3:08.0,,,21-19,,Offensive rebound by D. Jordan
3:08.0,,,21-19,,D. Jordan misses 2-pt shot at rim
3:07.0,Defensive rebound by Z. Collins,,21-19,,
